,user_a,user_b
1856,Mừng 3 lên group nhắn rủ tụi nó đi cho đông vui,Okay nhá
1857,Ngày lễ tình nhân là ngày nào?,14/02
1858,Quốc tế phụ nữ là ngày nào?,08/03
1859,Ngày quốc khánh Việt Nam?,02/09
1860,Ngày nhà giáo Việt Nam,20/11
1861,Nghỉ tết nhiêu ngày vậy mày?,Hên xui
1862,Chẩm hỏi?,Đang dịch mà
1863,Trường thông báo nhiêu?,Quên rồi
1864,Chừng nào nghỉ tết?,6/2
1865,Sao về nhà rồi?,Nghỉ dịch
1866,khi nào nghỉ tết?,26 á
1867,mùng mấy làm lại?,mùng 4
1868,tranh thủ đi chơi nhen?,ok để sắp xếp
1869,"Ê, đi chùa không?",Không
1870,đi chợ tết nè?,xíu nữa đi
1871,lễ gì vậy ta,hông biết luôn
1872,Ngày Quốc khánh là ngày nào ?,2/9
1873,Tết âm lịch vào tháng mấy dương lịch ?,Tháng 2
1874,Tết nghỉ mấy ngày ?,14 ngày
1875,Quốc tế lao động là này nào ?,1/5
1876,Tết có vui không ?,Không
1877,nghỉ Tết năm 2021,6/2/2021 đến 21/2/2021
1878,giỗ tổ Hùng Vương 2021,21/4/2021
1879,Quốc khánh 2021 thứ mấy?,thứ 5
1880,30/4 và 1/5 năm 2021 thứ mấy?,thứ 6 và thứ 7
1881,Quốc tế lao động 2021 thứ mấy ?,thứ 7
1882,Chiến thắng 30/4 2021 thứ mấy ?,thứ 6
1883,mày có thích dịp Tết đợt này không?,có
1884,có đi chúc Tết không?,không
1885,nhà mày có làm bánh chưng không?,không
1886,có qua nhà các bạn của mày không?,có
1887,có thích pháo hoa của dịp tết không?,có
1888,Các dịp lễ tết có đi đâu không ?,"lễ thì đi vòng vòng , tết về quê"
1889,Các ngày lễ thường làm gì ?,Rủ các bạn đi cf
1890,Được nghỉ lễ dài có đi đâu đó xa xa không ?,Có
1891,tết này nghỉ được mấy ngày?,7 ngày
1892,tết có về quê không?,có chứ
1893,sắp tới 8/3 rồi?,mua hoa thôi
1894,sắp đến valentine,chưa có bồ :(
1895,sắp đến 2/9 rồi,hoan hô lễ Quốc Khánh
1896,tết bạn được nghỉ không,có
1897,14 tháng 2 là ngày gì,lễ tình nhân
1898,mua kẹo tết chưa,chưa
1899,mua hoa mai chưa,rồi
1900,mua cá chép chưa,rồi
1901,tết ông công ông táo ngày bao nhiêu,23 tháng chạp
1902,mâm ngũ quả gồm quả gì,"mãng cầu Xiêm, dừa (hay dưa), đu đủ, xoài,dưa hấu"
1903,tết nay có về quê không?,không
1904,mua đồ tết chưa?,rồi
1905,được lì xì bao nhiêu?,tớ không tính
1906,Ngày Quốc khánh là ngày nào ?,2/9
1907,Tết âm lịch vào tháng mấy dương lịch ?,Tháng 2
1908,Tết nghỉ mấy ngày ?,3 tháng
1909,Quốc tế lao động là này nào ?,1/5
1910,Tết có vui không ?,Không
1911,tết đi xem Trạng Tí không ?,không
1912,mai đi net không ?,đi chứ
1913,"mày coi phim Chị Mười Ba chưa, hay không ?","rồi, cũng được"
1914,mày thích ca sĩ nào ?,"nếu nước ngoài thì John Legend, còn Việt Nam thì Vũ"
1915,mày có xem bóng đá không ?,không
1916,Bạn thích xem phim thể loại gì nhất?,"Hành động, logic, ảo thuật"
1917,Bạn thích đi xem phim ở rạp nào?,CGV quận Tân Bình
1918,Bạn hay chơi game với ai?,Bạn cùng với những bạn trong lớp và những người bạn thân
1919,Bạn có muốn đi chơi vào tuần này?,Tôi không muốn ra ngoài
1920,Bạn thích chơi game kiểu như thế nào?,Vui và giúp ích cho việc giải trí
1921,thích xem phim thể loại gì,hành động
1922,có hay đi chơi ở đâu không?,không
1923,thích xem phim gì nhất?,"""Kỳ nghỉ nhớ đời"""
1924,thường đi xem phim chung với ai,bạn bè
1925,có thích xem phim kinh dị không,không
1926,thích ăn gì trong khi xem phim,bổng ngô
1927,Xem phim không?,Đi.
1928,Xem phim gì?,Phim hoạt hình anime.
1929,Xem phim xong đi chơi không?,OK.
1930,Phim hồi nãy coi hay không?,Xuất sắc.
1931,Xem phim không?,Đi.
1932,Xem phim gì?,Phim hoạt hình anime.
1933,Xem phim xong đi chơi không?,OK.
1934,Phim hồi nãy coi hay không?,Xuất sắc.
1935,Bạn thích xem phim thể loại gì nhất?,Hành động
1936,Bạn thích đi xem phim ở rạp nào?,CGV ViVo quận 7
1937,Bạn hay chơi game với ai?,Bạn cùng lớp với tôi
1938,Bạn có muốn đi chơi vào tuần này?,Tôi không muốn ra ngoài
1939,Bạn thích chơi game kiểu như thế nào?,Vui và giúp ích cho việc giải trí
1940,có thích đi xem phim hay đi chơi game chi đó không?,thích đi xem phim nha
1941,mày thích thể loại phim nào?,tao thích kiểu phim siêu anh hùng giống marvel hay dc comic á
1942,eei vậy mày biết tập vừa mới ra đang công chiếu á.,"ừ tao biết, sao á"
1943,định đi xem nè không biết rủ ai mày đi không?,"okay mày, chiều nay hay sao."
1944,đúng rồi nè okay có gì t điện mày sau.,okay
1945,ê tới chưa mày,vừa mới tới rồi nè mày
1946,okay t thấy mày rồi,t cũng thấy mày rồi
1947,đi vô mua vé xem phim thôi,okay đi
1948,Xem phim không?,OK.
1949,Xem phim gì?,Phim hành động.
1950,Xem phim xong đi chơi không?,OK.
1951,Phim hồi nãy coi hay không?,Hay tuyệt.
1952,Đi xem phim không ?,không
1953,phim gì ?,Tây du ký
1954,Ai đóng ?,diễn viên
1955,rạp nào ?,CGV
1956,triển ngay ?,ok
1957,mang tiền chưa ?,rồi
1958,mang thẻ sv chưa ?,rồi
1959,thích xem phim không?,có chứ
1960,tên bộ phim mày thích nhất?,"nhiều lắm kể hong hết, phim nào cũng thích"
1961,mày thích thể loại phim gì?,hành động
1962,có chơi game không?,mỗi tối luôn
1963,tên các game mày hay chơi?,CSGO với LMHT
1964,đi chơi net không mày?,"hoi không đi chơi net đâu, có máy xịn ở nhà rồi"
1965,dạo này ngoài rạp có phim gì?,"lên web coi i, ai nhớ hết đâu"
1966,đi coi phim không?,"thôi đang dịch COVID-19 mà đi đâu, muốn bị cách ly à"
1967,đi xem phim không?,"thôi đang dịch, tao sẽ ở nhà coi netflix"
1968,tối nay chơi game không?,game gì mày
1969,tối nay chơi lmht không?,ok go go
1970,tối nay bắn csgo không?,hoi tối nay bận học web rồi
1971,còn bán netflix không?,"còn nha, cần thì cứ hú"
1972,Xem phim không ?,đi
1973,Net không ?,duyệt
1974,caro không ?,mày tuổi
1975,xem đánh giải không ?,ok mở đi
1976,1 ván rank không ?,vô mày
1977,xem phim không?,xem
1978,khi nào?,tối nay
1979,phim gì?,batman
1980,xem phim không,ok
1981,phim gi đang hot cuối năm 2020,"""lừa đểu gặp lừa đảo"" đấy."
1982,kingsman chừng nào ra mày?,nó bị dịch nên dời miết à
1983,thằng nào đi net không?,đây đủ 5 thằng nè.
1984,"sáng thứ 7 ở nhà hát thành phố có ca nhạc ngoài trời, ai coi không?",thôi tao lười lắm mày.
1985,phim vui không?,vui
1986,đi xem phim không?,Không
1987,vô chơi game?,không
1988,sao không chơi?,đang bận
1989,chút rãnh chơi game không?,oke
1990,game này vui không?,vui
1991,rảnh không?,rảnh
1992,đi chơi hay đi xem phim không?,xem phim
1993,thích xem phim gì?,hành động
1994,ai đặt vé?,cậu
1995,mấy giờ đi?,bốn giờ
1996,đi xem phim không?,ok
1997,xem ở đâu?,Hùng Vương Plaza
1998,muốn xem thể loại gì?,kinh dị đi
1999,muốn ăn gì không?,được
2000,mua combo?,ok
2001,Tối nay đi cà phê không?,Mấy giờ mày?
2002,20h đi,Trễ vậy?
2003,Chứ mấy giờ?,19h đi
2004,"Ừ, cũng được",Mà đi quán nào?
2005,Quán cũ đi,Hay đi TCH bên NAT đi
2006,"Ừ, vậy đi. Chốt đơn",Okie
2007,net không bro,ok
2008,net nao,chỗ cũ đi bro
2009,chơi liên minh hay csgo,nào cũng được
2010,net xong đi xem phim không,ok phim gì bro
2011,mày thích thể loại phim gì,phim hành động bro
2012,ok để tìm phim hành động bro,ok coi ở đâu bro
2013,galaxy Nguyễn Du đi,ok phim gì xuất mấy giờ
2014,join quit xuất 1h chiều,ok chốt bro
2015,lúc rãnh làm gì?,"đọc sách, nấu ăn, dọn dẹp nhà cửa, ngủ, nghe nhạc"
2016,có đi làm không?,có
2017,làm ở đâu?,nhà hàng món ăn Thái
2018,mấy tiếng một ca làm?,5
2019,mấy tiếng một ca học?,2 tiếng 15 phút
2020,bị giám thị bắt thì làm gì?,"năn nỉ, khóc lóc, kí tên vô biên bản"
2021,mất thẻ sinh viên thì làm gì?,"liên hệ phòng A003, đóng 50 nghìn làm lại thẻ"
2022,trường có gì vui?,mỗi ngày là một fashion show.
2023,trường có gì không vui?,"kẹt xe mỗi ngày, kẹt thang máy mỗi ngày"
2024,trường có gì đặc biệt?,"thư viện hơn 120 tỉ, 5 lầu, chứa được 3000 người cùng lúc."
2025,Có thường đi chơi không,"Có, thường xuyên đi"
2026,Mày có đi chơi ở trung tâm không,Cũng hay đi
2027,Hay đi ở đâu,"Phố đi bộ, hồ con rùa"
2028,Đi với ai,Bạn trên đại học
2029,Có thường đi xem ca nhạc không,Có
2030,Thích xem thể loại gì,Rap và indie
2031,Có đi Rap Việt concert không,Có vé nhưng đang bị hoãn nên chưa đi
2032,Sắp tới có đi sự kiện nào không,"Không, mình yêu nước"
2033,Tết có dự định đi đâu chơi không,Có mà còn tùy dịch
2034,Mày có hay chơi game online không,Không thích lắm
2035,Vậy còn đọc sách,Sách thì thích
2036,xem phim không?,đi
2037,xem ở đâu?,lotte cinema
2038,làm ván game không?,ok
2039,chơi game gì?,LoL
2040,chơi lâu không?,khoảng 3 tiếng
2041,xem phim gì?,bom tấn
2042,Đi chơi game không?,Đi
2043,Xem phim không?,Xem
2044,Tao rủ bạn đi cùng?,Ok
2045,Cuối tuần đi coi phim bây?,Cuối tuần không giảm giá.
2046,Vậy bữa nào rảnh thì đi?,Tầm thứ 4 hay thứ 5 đi.
2047,"OK, mấy giờ?",Chắc 1 mấy 2 giờ.
2048,Coi phim gì giờ?,Godzilla.
2049,Rạp nào?,CGV Vạn Hạnh đi cho gần nhà mày.
2050,Ê coi phim xong đi quẩy net không?,Đi thì đi.
2051,bộ phim bạn thích xem nhất là gì?,hulk
2052,cuốn sách bạn thích xem nhất là gì?,hãy đợi đấy
2053,trò chơi bạn thích xem nhất là gì?,clash of lord 2
2054,môn thể thao bạn thích xem nhất là gì?,đá bóng
2055,thể loại phim bạn thích xem nhất là gì?,viễn tưởng
2056,cảnh tượng bạn thích xem nhất là gì?,hành động
2057,món đồ bạn thích xem nhất là gì?,laptop
2058,gameshow bạn thích xem nhất là gì?,hỏi xoáy đáy xoay
2059,phim hoạt hình bạn thích xem nhất là gì?,doremon
2060,chương trình bạn thích xem nhất là gì?,thời sự
2061,Tuần sau đi coi phim không?,Để xem lại côi rãnh không
2062,Ngày mai đi lễ hội âm nhạc không?,Đi
2063,Có dư vé nè đi xem phim không?,Đi chứ
2064,Mày có coi phim không Quang?,Không.
2065,Mày không coi phim gì hết luôn à?,Có ít lắm.
2066,Lúc mày coi thì mày coi gì Quang?,Anime.
2067,Anime con nít cũng coi à?,Mày nghĩ chỉ có thế thôi à?
2068,Mày thường chơi game gì Quang?,"Tao chơi nhiều lắm, World of Warships, Minecraft, Genshin Impact, Cyberpunk2077, Kerbal Space Program, Phasmophobia,..."
2069,Mày có chơi Liên Minh không Quang?,"Không, bỏ lâu rồi."
2070,Minecraft là game vuông vuông con nít phải không?,"Ờ, kỹ sư chơi cũng được, mày càng giỏi lập trình hoặc mạch điện thì cách chơi minecraft của mày sẽ càng thâm."
2071,Genshin Impact là game gì?,Game weeb làm mày viêm màng túi và dồn máu não.
2072,World of Warships là game gì ?,"Bằn tàu, 2016 chơi vui chứ 2021 mày càng chơi càng teo não."
2073,Máy mày chơi được Cyberpunk2077 à Quang?,"Ờ, nhưng phải chỉnh cấu hình thấp mới mượt được 60fps."
2074,Kerbal Space Program là game gì?,"Mô phỏng việc du hành ngoài không gian, thiết kế xây dựng tên lữa các kiểu, nhưng giờ tao chủ yếu thiết kế tàu, bè chiến đấu trên mặt nước."
2075,Có World of Warships rồi sao không chơi lại thiết kế tàu bè trong Kerbal Space Program?,Tao thích.
2076,Phasmophobia là game gì ?,"Đi lòng vòng la làng bắt ma, bị ma dí thì chạy."
2077,Ngoài đống game đó ra mày con chơi gì không Quang?,"Tao chơi nhiều lắm, ước gì tao cũng học nhiều như vậy mà đời không như mơ."
2078,mai đi xem phim không?,mai bận rồi
2079,cuối tuần xem phim không?,ok
2080,mê coi phim thể loại gì?,mê phim hành động
2081,khoái thể loại phim nào?,khoái phim kinh dị
2082,thích đi đâu chơi?,thích đi sở thú
2083,thường rảnh thì đi đâu?,đi nhà sách
2084,Rạp nào?,CGV
2085,Phim gì?,Avengers
2086,Công ty sản xuất?,Marvel Studios
2087,Nhân vật yêu thích?,Iron Man
2088,Diễn viên?,"Robert Downey, Jr."
2089,chơi game liên minh chưa?,rồi
2090,chơi hay không?,hay lắm
2091,chơi bằng gì?,laptop
2092,coi phim không?,coi
2093,chơi game không?,chơi
2094,đi chơi không?,đi
2095,chơi game LOL chưa?,chưa
2096,mai Net không?,đi
2097,Net đâu?,Xgame
2098,tao có 2 vé xem phim,nói tao chi
2099,đoán xem,đi xem 2 lần hả
2100,?,chúc đi vui vẻ
2101,mày có khùng không,sao chửi tao
2102,thôi không crush mày nữa,Ơ...
2103,Xem phim không ?,OK
2104,Đi net không ?,Đi
2105,Rủ ai không ?,OK
2106,"Tớ có 1 cặp vé xem phim, đi chung không ?","Không, cậu có thể xem 2 lần mà"
2107,Tớ muốn đi với cậu ?,Tớ thì không
2108,Chủ nhật rảnh không?,"Ừm, rảnh."
2109,Đi xem phim rạp không?,OK. Được.
2110,Thích thể loại nào?,Drama là được.
2111,Có chơi game không?,Có chứ.
2112,Thể loại nào?,Kinh dị.
2113,Vậy mai qua nhà tao chơi?,Ok. Mai chơi chung.
2114,xem phim không?,Có phim gì?
2115,Tom và Jerry,Ok mai đi
2116,Coi ở đâu?,Lotte Cinema
2117,Đi xe gì tới đó?,Xe máy
2118,Mua bắp nước không?,Lấy combo hai người đi
2119,Tối đi xem phim không?,hết tiền rồi
2120,phim hôm qua thế nào ?,bình thường
2121,đi net không ?,Bao thì đi
2122,Tối đi đâu chơi không ?,xem phim
2123,biết bộ phim nào hay không ?,không biết
2124,Đi xem phim không ?,Xem phim gì.
2125,Phim hài Tết?,"OK, coi mấy giờ"
2126,6h ngày mai?,Ok
2127,Có rủ ai đi chung không ?,Đi 2 người thôi.
2128,đi xem phim không?,thôi
2129,chơi game không?,không
2130,đang ở trường hay ở đâu?,quận 3
2131,có thích xem phim dài tập không?,không
2132,phim gì ấn tượng nhất?,Minh Lan truyện
2133,Thích các thể loại phim gì?,"Hành động, hài kịch, phim ma và tu tiên"
2134,Thích nhất là xem phim j?,Doremon
2135,Thích đi đâu nhất?,Mình thích đến quán nước và những khu vực ngắm cảnh
2136,Muốn đi xem phim cùng mình không?,Đi luôn
2137,Thích xem phim kình dị không?,Không
2138,Xem phim không?,Xem
2139,Phim Doremon nhe,Cũng được
2140,19h30 nhé,Ok
2141,Đi xem phim không?,ok
2142,Khi nào đi?,Mai nhé
2143,Xem phim gì?,Cậu vàng
2144,Mấy giờ đi?,3h nhé
2145,Có rủ thêm ai không?,Không
2146,mày thích phim gì?,khoa học viễn tưởng
2147,mày hay đi xem ở đâu?,CGV
2148,mày có chơi game không?,có
2149,mày chơi game gì?,Liên minh huyền thoại
2150,mày hay chơi một mình à?,không
2151,Alo! Đi xem phim hong?,"Đợi chút, check lịch phim"
2152,Có phim gì hay tuần này vậy?,Thấy có phim ma này được này
2153,Thế suất mấy giờ đó?,10h30 đi cho kịch tính :))
2154,Okay :) Chốt nhá?,Okay! Nhớ 9h đến rạp
2155,Biết rồi,Done
2156,chơi game không?,ok
2157,tối đi xem phim không?,ok
2158,chơi được bóng chuyền không?,được
2159,Đang làm gì đó ?,Bấm điện thoại
2160,Coi phim Godzilla vs Kong không ?,Đợi tí coi trailer. Okay đi
2161,Muỗn coi mấy giờ ?,"Mày chọn đi, mấy giờ cũng được, đang rãnh"
2162,18g rạp CGV Cresent Mall ?,Okay nhá
2163,"Bắp, nước tới đó mua",Okay luôn nhá
2164,Mày có chơi LOL không?,Có
2165,Rank gì rồi?,Kim cương
2166,Mày hay chơi chess hay 5v5,Tao hay chơi chess
2167,OK bro! Lát vô chơi chung với tao không?,Lụm!
2168,Rảnh hong?,Rảnh
2169,Chơi game không?,Ok
2170,Tối phim không?,không
2171,Bận à?,ờ
2172,Nào rảnh?,Mai
2173,Mai nhá?,ok
2174,rủ thêm bạn đi?,ok
2175,coi chị 13 không?,Rạp nào? mấy giờ?
2176,Xem phim không ?,OK
2177,Đi net không ?,Đi
2178,Rủ ai không ?,OK
2179,"Tớ có 1 cặp vé xem phim, đi chung không ?","Không, cậu có thể xem 2 lần mà"
2180,Tớ muốn đi với cậu ?,Tớ thì không
2181,thích phim thể loại gì?,"hành động, kinh dị"
2182,phim kinh dị hay?,the saw
2183,phim hành động hay?,kẻ hủy diệt
2184,phim tình cảm hay?,crash landing on you
2185,phim tội phạm hay?,extracurricular
2186,phim viễn tưởng hay?,avengers
2187,tuần nàyđi xem phim không?,có
2188,bộ phim chuẩn bị xem tên gì?,avendture
2189,phim mấy giờ bắt đầu?,9 giờ
2190,thích chơi bóng rổ không?,thích
2191,muốn đi chơikhông?,có
2192,đi đâu?,Đầm Sen park.
2193,ở khúc nào?,Hoà Bình Quận 11
2194,Thể loại phim nào gây thích thú với bạn ?,"Hành động , viễn tưởng"
2195,Bạn thường đi xem phim bao lâu 1 lần ?,2 tuần 1 lần
2196,Thường thì bạn sẽ đi xem phim cùng ai ?,"bạn bè , người yêu ( nếu có )"
2197,Các rạp chiếu phim nào bạn hay lui tới ?,"CGV , Galaxy ..."
2198,Đi xem phim thôi có dùng bắp nước không ?,Có chứ.
2199,phim này hay không?,phim gì?
2200,endgame,hay đấy
2201,xem infinity war chưa?,thor nên nhắm vào đầu
2202,làm ván liên quân không?,solo nè
2203,xem phim không?,"ok, phim gì?"
2204,mày thích xem phim không,có
2205,mày thích nghe nhạc không,có
2206,đi học về đi net không,oke
2207,đi chơi net đêm không,đi luôn
2208,nghe nhạc rap không tao mở,oke
2209,mày thích xem phim không,có
2210,mày thích nghe nhạc không,có
2211,đi học về đi net không,oke
2212,đi chơi net đêm không,đi luôn
2213,nghe nhạc rap không tao mở,oke
2214,xem phim không?,không
2215,đi chơi không?,không
2216,xem phim Gái già lắm chiêu không?,xem
2217,khi nào vậy?,mùng 1 tết
2218,đi xem phim Gái già lắm chiêu mùng 1 tết không?,không
2219,đi chơi game không?,đi
2220,đi chơi game với tụi tôi không?,không đi đâu
2221,đi chơi game ở đường Lê Văn Lương không có thằng Nam nữa?,đi
2222,Xem phim không ?,OK
2223,Đi net không ?,Đi
2224,Rủ ai không ?,OK
2225,"Tớ có 1 cặp vé xem phim, đi chung không ?","Không, cậu có thể xem 2 lần mà"
2226,Tớ muốn đi với cậu ?,Tớ thì không
2227,đi du lịch không ?,đi đâu ?
2228,Đà Nẵng đi không ?,được
2229,chừng nào đi ?,hè
2230,cần mang nhiêu tiền ?,tầm 10 triệu
2231,đặt vé chưa ?,giờ đặt
2232,Bạn đã đi du lịch bao nhiêu tỉnh rồi?,Chắc vài 3 tỉnh gì đó
2233,Bạn thích nhất là đi du lịch ở đâu?,Tôi thích đi Vũng Tàu.
2234,Bạn thích nhất là đi du lịch với ai?,Đi với bạn bè.
2235,Bạn thường đi du lịch vào thời gian nào?,Mỗi đợt thời gian giữa và cuối năm.
2236,lần cuối đi du lịch ở đâu,Đà Nẵng
2237,dự đi du lịch,không
2238,có dự đi du lịch,có
2239,du lịch ở Hà Nội,chưa
2240,du lịch ở Đà Nẵng,đã đi
2241,đi du lịch ở Cà Mau,chưa
2242,du lịch ở nước ngoài,chưa
2243,Năm nay mình đi đâu nào?,Đi biển.
2244,Chừng nào mình đi Hàn Quốc?,Tết năm sau.
2245,Năm nay mình đi đâu nào?,Đi biển.
2246,Chừng nào mình đi Hàn Quốc?,Tết năm sau.
2247,Bạn đã đi du lịch bao nhiêu tỉnh rồi?,Chắc là 15 tỉnh trên nước rồi.
2248,Bạn thích nhất là đi du lịch ở đâu?,Tôi thích nhất là đi du lịch ở Đà Lạt.
2249,Bạn thích nhất là đi du lịch với ai?,Đi với bạn bè là thích nhất nhá.
2250,Bạn thường đi du lịch vào thời gian nào?,Mỗi đợt thời gian giữa và cuối năm.
2251,có mày,muốn đi chung không
2252,đi đâu,tầm thi giữa kì xong là đi Đà Lạt
2253,t cũng tính đi á,vậy đi chung luôn nha
2254,Năm nay mình đi đâu nào?,Đi Vũng Tàu.
2255,Chừng nào mình đi Nhật?,Tết năm sau.
2256,bạn muốn đi đâu chơi ?,đi biển
2257,Bạn thích biển ở đâu ?,có biển là thích
2258,vậy có thích đi leo núi không ?,có luôn
2259,Vậy bạn thích đà lạt phải không ?,đúng vậy
2260,Bao lâu rồi chưa lên Đà Lạt ?,1 ngày trước
2261,Thế còn Tây Bắc ?,Chưa được đi
2262,Có muốn đi không ?,có
2263,dạo này có đi du lịch đâu không?,mới đi đà lạt hồi noel nè
2264,đi với ai vậy?,đi với nhóm bạn thân trên đại học
2265,đi bao lâu vậy?,đi đà lạt 4 ngày 3 đêm
2266,đi tốn nhiều không?,trời ơi tốn lắm luôn
2267,Đà lạt không ?,quất luôn
2268,Phượt 3 miền không ?,Tiền đâu
2269,Tết đi Sapa không ?,Lạnh lắm
2270,Nào đi Huế vậy ?,Tuần sau
2271,Cảnh đâu đẹp dị ?,Bí mật
2272,Cuối tuần đi Long An với tao không?,Đi chi mày?
2273,Thì đi chơi,Xe máy hả?
2274,"Ừa mày, đi không?","Ừ, đi."
2275,Tết này đi đâu chơi không?,là đi đâu cụ thể đi ông.
2276,đi chơi Vũng Tàu được không,Cũng ổn đây. Đi gần cho dễ bề quản lý.
2277,kì này đi Đà Lạt không?,kì này tao hơi kẹt tiền rồi.
2278,Có ai về Bắc chơi không mọi người,cho t ké một chân với nha
2279,mọi người chốt này đi chơi đi nè,Tết kì này được không mọi người.
2280,Tết dương lịch mọi người có muốn ra Đà Nẵng không nè?,"lên lịch luôn, tết này mình triển."
2281,tết nghỉ nhiều không?,nhiều
2282,đi du lịch không?,không
2283,sao vậy?,ở nhà ngủ
2284,đi du lịch miền tây?,xa lắm
2285,khi nào đi?,nghỉ tết
2286,Đà Nẵng đẹp không?,đẹp
2287,giá mắc không?,ổn định
2288,đi với ai?,gia đình
2289,cho đi cùng nữa?,oke
2290,dắt thêm người được không?,được
2291,đi chơi không?,có
2292,muốn đi đâu?,đi Sapa
2293,Đi Sapa phải sắm thêm áo ấm,tớ có áo ấm rồi
2294,mày định đi mấy ngày?,5 ngày 4 đêm
2295,Rủ thêm mấy đứa nữa đi cho vui,tùy mày
2296,sau Tết rảnh không?,rảnh
2297,đi du lịch không?,ok
2298,đi đâu?,Đà Lạt
2299,bao nhiêu người?,6 người
2300,đặt khách sạn chưa?,rồi
2301,Cuối tuần đi Long An với tao không?,Đi chi mày?
2302,Thì đi chơi,Xe máy hả?
2303,"Ừa mày, đi không?","Ừ, đi."
2304,đi chơi không,đi
2305,đi đâu giờ,Đà Lạt
2306,khi nào đi,lễ 30 tháng 4
2307,lên đó làm gì,cắm trại
2308,làm gì nữa,chụp hình ăn uống
2309,tết m có đi đâu chơi không?,có
2310,đi chơi ở đâu ?,đà lạt
2311,đi với gia đình à ?,"không, đi với người yêu"
2312,đi bằng gì ?,xe máy
2313,chơi gì ở đấy,tận hưởng cái không khí thôi
2314,Đi du lịch không?,Ở đâu
2315,Đà Lạt được không?,Được
2316,Khi nào đi?,Mai
2317,Có ai nữa không?,Bạn tao
2318,Tết này mày về quê không?,Có năm nào tao chả về?
2319,Còn mày có đi đâu không.,Năm nay tao đi Đà Lạt.
2320,Có năm nào mày không đi Đà Lạt đâu.,Kệ tao.
2321,Có gì trên đó mà mày đi hoài vậy?,Đám bạn cấp hai rủ nên tao đi thôi.
2322,mồng một tết bạn muốn đi đâu?,sapa
2323,mồng hai tết bạn muốn đi đâu?,vũng tàu
2324,mồng ba tết bạn muốn đi đâu?,đà lạt
2325,mồng một tết bạn muốn đi cùng ai?,bạn bè
2326,mồng hai tết bạn muốn đi đâu?,gia đình
2327,mồng ba tết bạn muốn đi đâu?,bồ
2328,ngày sinh nhật bạn muốn đi đâu?,đi thật xa
2329,ngày sinh nhật bạn muốn ở đâu?,nhà
2330,ngày sinh nhật bạn muốn làm gì?,ngủ
2331,ngày sinh nhật bạn muốn ăn gì?,chuối
2332,Có thường đi du lịch không?,Ít khi đi
2333,Có ý định đi đâu chưa?,Nha Trang
2334,Đi vào dịp nào?,Hè
2335,Đi mấy ngày?,Khoảng 2 tuần
2336,Tết này đi du lịch ở đâu?,Covid tùm lum đi gì ở nhà.
2337,Tết ở nhà không chán à?,Không.
2338,Sao ở nhà không chán hay vậy?,"Tại sao phải chán, ở nhà là sướng nhất."
2339,Hè này tính đi đâu?,Đà Lạt
2340,có thích đi Đà Lạt không?,không thích mấy
2341,thích đi biển nào nhất?,biển Nha Trang
2342,thích đi du lịch nước nào?,nước Nhật
2343,đi du lịch nước ngoài chưa?,đi rồi
2344,Hay đi đâu?,Nước ngoài
2345,Dịp gì?,Tết nguyên đán
2346,Với ai?,Gia đình
2347,Bao lâu?,7 - 9 ngày
2348,Quà?,Không
2349,có về quê chưa?,chưa
2350,bao giờ về?,Tết về
2351,về với ai?,một mình
2352,có về quê chưa?,chưa
2353,bao giờ về?,Tết về
2354,về với ai?,gia đình
2355,cuối tuần đi đâu,Hà Nội
2356,ra đó làm gì,về nhà ăn tết... tết
2357,đang dịch mà,"dịch thì dịch, về thì về"
2358,tao báo cảnh sát,không pass vé được
2359,Tết này đi đâu ?,Phan thiết
2360,Đi vào ngày nào ?,Mùng 3 tết
2361,Có ai đi ?,Tụi mình
2362,Đặt phòng chưa ?,Rồi
2363,Mặc đồ concept nào ?,Trắng đen
2364,Giờ chơi đâu?,Đi biển thôi.
2365,Thích bơi à?,Ừm. Đang hè mà.
2366,Bơi ở đâu?,Vũng Tàu thôi.
2367,Nha Trang đi?,Thôi. Xa lắm.
2368,Khi nào đi?,Cuối tuần.
2369,Rủ ai đi chung?,Để tao rủ cho.
2370,Đi Vũng Tàu chưa?,Được 1 lần
2371,Leo núi không?,Thôi dẹp
2372,đi du lịch không?,Đi Đà Lạt nha
2373,Ok.khi nào đi?,Cuối tuần
2374,Đi mấy ngày?,3 ngày
2375,Tối ngủ ở đâu?,Homestay
2376,Sáng đi leo núi không?,"Không, đi xem hoa"
2377,Xem hoa ở đâu?,Vườn ươm Đà Lạt
2378,Tết đi đâu chơi ?,Vũng tàu
2379,đi du lịch nước ngoài chưa ?,chưa
2380,bao lâu thì đi du lịch 1 lần ?,6 tháng
2381,Du lịch ở đâu vui ?,Vịnh Hạ Long
2382,Đi đâu du lịch không ?,tao hết tiến rồi
2383,Tết này đi đâu ?,Phan thiết
2384,Đi vào ngày nào ?,Mùng 3 tết
2385,Có ai đi ?,Tụi mình
2386,Đặt phòng chưa ?,Rồi
2387,Mặc đồ thế nào?,Trắng đen
2388,thích đi đâu?,Hà Giang
2389,nơi đó có gì mà mày thích?,đẹp và đặc biệt
2390,mày có chuyến đi nào đáng nhớ nhất không?,có
2391,mày thường đi du lịch vào dịp nào?,Tết và nghỉ hè
2392,sắp tới mày có dự định đi đâu?,không đi đâu
2393,Bạn thường đi du lịch khi nào?,"Tết, quốc khánh và noel."
